(4bb,cf5) (9a7,cf5)
(37b,457) (d3,457)
(81d,ef3) (d15,ef3)
(db,127) (6b,127)
(b,23) (b,23)
(cdf,15b9) (13e7,15b9)
(3b,5b) (b,5b)
(d,55) (5,55)
(fd,193) (25,193)
(185,1d9) (95,1d9)
(3d7,df1) (5c3,df1)
(3a1,4f7) (491,4f7)
(289,66b) (289,66b)
(1309,2645) (11b9,2645)
(1c3,4d9) (eb,4d9)
(381,661) (2a1,661)
(1e1,4db) (321,4db)
(18d,8d1) (535,8d1)
(329,112f) (a31,112f)
(4c3,1c91) (1bbb,1c91)
(216b,3319) (240b,3319)
(583,99d) (58f,99d)
(bfb,15e9) (373,15e9)
(947,a8d) (d7,a8d)
(21d7,2339) (1c4f,2339)
(175,80b) (22d,80b)
(24f,391) (6f,391)
(195,71b) (65d,71b)
(4a5,ccd) (b6d,ccd)
(7e3,1219) (e4b,1219)
(1575,2c95) (9d,2c95)
(191,353) (2c9,353)
(3eb,cf5) (3c7,cf5)
(197,845) (2e7,845)
(4c3,53b) (3d3,53b)
(617,719) (26f,719)
(26f,42b) (20f,42b)
(a1b,14bf) (493,14bf)
(19d,2a37) (4d,2a37)
(83b,ad5) (8d3,ad5)
(869,bed) (971,bed)
(9bf,112f) (f07,112f)
(557,967) (337,967)
(53b,13c7) (9eb,13c7)
(ee9,124f) (559,124f)
(277,1f2b) (5bf,1f2b)
(54d,23cf) (2095,23cf)
(7cf,1c91) (10b7,1c91)
(12d,69b) (1a5,69b)
(1375,1c01) (186d,1c01)
(76d,124f) (e5d,124f)
(95,131) (1d,131)
(1b91,28a3) (a21,28a3)
(1651,1c91) (b29,1c91)
(e95,1555) (99d,1555)
(1a5f,1d93) (f7f,1d93)
(79,77f) (691,77f)
(499,6e9) (5e9,6e9)
(103,149) (d3,149)
(1cf,30b) (16f,30b)
(1d5,2a7) (fd,2a7)
(61,f7) (31,f7)
(6df,20bf) (b17,20bf)
(36d,661) (495,661)
(6a1,96d) (1a9,96d)
(fb,187) (73,187)
(1d,37d) (101,37d)
(e5f,18af) (90f,18af)
(e5,4d9) (1ed,4d9)
(59,1c03) (711,1c03)
(140f,1ba9) (18ef,1ba9)
(203,671) (2ab,671)
(98b,c3b) (133,c3b)
(24d,2c9) (199,2c9)
(7d,2a7) (155,2a7)
(189,235) (39,235)
(39,55) (9,55)
(4d9,733) (329,733)
(15b,439) (23,439)
(71,cd) (11,cd)
(3d3,575) (8b,575)
(755,87d) (55d,87d)
(a99,125b) (d99,125b)
(46d,781) (665,781)
(1a3,71b) (64b,71b)
(8db,e0f) (84b,e0f)
(4b7,a3f) (6f7,a3f)
(297,54d) (24b,54d)
(24f,14e9) (51f,14e9)
(71,f7) (41,f7)
